Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
437b2e9d429d890bda00c6f01a7e5b049bfa4f1a2f775bc49669c4671f0c801f,2019-03,West Midlands Police,West Midlands Police,-1.845278,52.518213,On or near TYLER COURT,E01009000,Birmingham 031C,Investigation complete; no suspect identified
75064c65d205328ab655faa9141c9409fc96116c88063b834b1bef5486b1b60e,2019-03,West Midlands Police,West Midlands Police,-1.836339,52.448951,On or near TEAN CLOSE,E01009028,Birmingham 090D,Investigation complete; no suspect identified
7c7c0ec8fceeafb542c716f342051fa5d780075ff0fee85488aeca2ac00d330b,2019-03,West Midlands Police,West Midlands Police,-1.854987,52.590638,On or near BENNETT ROAD,E01009421,Birmingham 004A,Investigation complete; no suspect identified
7422fa4a2e14423fba646de09925a978e80970cf78cf45d9e6bba687a5448dbe,2019-03,West Midlands Police,West Midlands Police,-1.866086,52.435755,On or near Sports/Recreation Area,E01009176,Birmingham 105E,Unable to prosecute suspect
ee8cecec612b0ebc91d15c54c215e45bac5de530e4226b6c54f60b56237abc2f,2019-03,West Midlands Police,West Midlands Police,-1.829377,52.586738,On or near Supermarket,E01009425,Birmingham 002D,Investigation complete; no suspect identified
e66f2141de9c85c5297a50cba6dc80fde94d8a2514ed82b8b1ef8a7b15e8f4cd,2019-03,West Midlands Police,West Midlands Police,-1.873926,52.466941,On or near JACKSON CLOSE,E01009365,Birmingham 071D,Unable to prosecute suspect
18dda61a33b935064f317d3f226e70f0a091c8e9b8dcbc4ff18c7754071ae754,2019-03,West Midlands Police,West Midlands Police,-1.774733,52.469014,On or near HONEYBOURNE ROAD,E01009321,Birmingham 069C,Investigation complete; no suspect identified
9c627c44c32f19b3544ef37442818967ecb4ba8270b4a6ba22c3d5893e8d106a,2019-03,West Midlands Police,West Midlands Police,-1.851021,52.493462,On or near BERRY ROAD,E01009484,Birmingham 048D,Investigation complete; no suspect identified
ef46db93243da6be5100fb64d1ede308033a63e1014cf4540af2589dd9b5e103,2019-03,West Midlands Police,West Midlands Police,-1.832382,52.534071,On or near STONNAL GROVE,E01033632,Birmingham 023F,Investigation complete; no suspect identified
15e51b8677a57842c759c5cdc3816b3318daa8e63e6e0a3bece42a9e4efcf989,2019-03,West Midlands Police,West Midlands Police,-1.834032,52.495237,On or near CHURCH WALK,E01009478,Birmingham 048A,Investigation complete; no suspect identified
0601834fe4e09ca19e952d6d02e0031ce771a54d719c8e7e7f2fb62b67a46197,2019-03,West Midlands Police,West Midlands Police,-1.841944,52.597265,On or near CHELSEA DRIVE,E01009418,Birmingham 001B,Investigation complete; no suspect identified
da1c8982acb8f4a5e8efc1e0a49dd45aadb9924c45a1478be42ac7709c74df4f,2019-03,West Midlands Police,West Midlands Police,-1.890203,52.444392,On or near DOWELLS CLOSE,E01009184,Birmingham 092B,Unable to prosecute suspect
42ae42ed6f541c9b695a9dd007eb4378a2a4f89fe3aaaa0d9b5c13374dbd598b,2019-03,West Midlands Police,West Midlands Police,-1.870028,52.450809,On or near DORIS ROAD,E01009382,Birmingham 140C,Unable to prosecute suspect
fb0fafc37c9dd90445ef62aa0be44f15f974bca2de5e377d3a34fa623955973b,2019-03,West Midlands Police,West Midlands Police,-1.890203,52.444392,On or near DOWELLS CLOSE,E01009184,Birmingham 092B,Unable to prosecute suspect
855b7aa7e2069dd2db8fd6330829818707e2e9acefb1699b215fe7aa9a208545,2019-03,West Midlands Police,West Midlands Police,-1.859926,52.490434,On or near ADDERLEY GARDENS,E01033644,Birmingham 052F,Investigation complete; no suspect identified
0319f2f2cbcdf470b6877d26297964e90857e818ad6bf16b04c5aa08f2fcc5c1,2019-03,West Midlands Police,West Midlands Police,-1.865786,52.549190,On or near KINGS ROAD,E01009129,Birmingham 014C,Unable to prosecute suspect
64b3dab53ba2a286e8ac11a32feedbb2419531590506bac6d50201652c3159bf,2019-03,West Midlands Police,West Midlands Police,-1.849685,52.479094,On or near Further/Higher Educational Building,E01033647,Birmingham 058E,Investigation complete; no suspect identified
653cc894603e86ce0b5d91cd24d72f476315c83f8836fe63d0801e7b139ef907,2019-03,West Midlands Police,West Midlands Police,-1.831709,52.490217,On or near WOODWELLS ROAD,E01009487,Birmingham 044F,Investigation complete; no suspect identified
f806ded5d2eee4b178dbf50087a2bf5d59928dec9706f3aa9bd0f9125c5eff1d,2019-03,West Midlands Police,West Midlands Police,-1.851981,52.523201,On or near RESERVOIR ROAD,E01033630,Birmingham 031H,Investigation complete; no suspect identified
203d6e0deaa5b7dc8ec953907550356ac1a0aa78c72495ba18685f271a853731,2019-03,West Midlands Police,West Midlands Police,-1.848827,52.441569,On or near REDDINGS LANE,E01009043,Birmingham 097B,Investigation complete; no suspect identified
69d5defca9bfecc2adcbff0fecf83f9bfae7e0c456f5a1a722ad30ba3f18ee08,2019-03,West Midlands Police,West Midlands Police,-1.839769,52.525775,On or near Shopping Area,E01009007,Birmingham 023D,Investigation complete; no suspect identified
1e8a5839b021d7b0c4b98d3b9ac87ec2231af510955e7828e00b36c4714e0b12,2019-03,West Midlands Police,West Midlands Police,-1.803872,52.460867,On or near Pedestrian Subway,E01008888,Birmingham 076C,Investigation complete; no suspect identified
f262a79650b5970cd4ac00715b0f74c0bc228c30fe9282f64a4dbca1f57d5b95,2019-03,West Midlands Police,West Midlands Police,-1.762671,52.475625,On or near BRAYMOOR ROAD,E01009302,Birmingham 069A,Unable to prosecute suspect
1891d9f8d3c52fa05fafc06aae377a7d8cede73db2a451983d82988c8ea66150,2019-03,West Midlands Police,West Midlands Police,-1.876077,52.544778,On or near BECKENHAM AVENUE,E01009133,Birmingham 011E,Suspect charged
9c185bf4ee7fdc8a6e47790d1feea768602d066a65a82d91ead1e5b92035e009,2019-03,West Midlands Police,West Midlands Police,-1.817461,52.495365,On or near Sports/Recreation Area,E01009090,Birmingham 042E,Investigation complete; no suspect identified
96bd79e9069f419418e1f8c80665e2c99f1fe53a76c2a82d2771401b808abc8c,2019-03,West Midlands Police,West Midlands Police,-1.895257,52.465766,On or near Pedestrian Subway,E01009378,Birmingham 135A,Investigation complete; no suspect identified
8932c58c51fde709ea083fbc51718989dce61d7ef020bda7e131f02232bc4977,2019-03,West Midlands Police,West Midlands Police,-1.790814,52.486484,On or near RUDGE CROFT,E01009311,Birmingham 054E,Suspect charged
e23341b0d74c69e20409460f3134219b9338122aa8e128cc7f86665f38e951ea,2019-03,West Midlands Police,West Midlands Police,-1.815783,52.463440,On or near Sports/Recreation Area,E01008886,Birmingham 076B,Investigation complete; no suspect identified
fda8e4c63b3aaea24bd1498d049a9ec94c7b07d366019e0e1f8068bd4c4b4956,2019-03,West Midlands Police,West Midlands Police,-1.803131,52.481876,On or near INSHAW CLOSE,E01009510,Birmingham 056E,Unable to prosecute suspect
db8c4ae2146347d579a6980893c64f3c4410dbcdff9a2d37abf39c1a6e052c2c,2019-03,West Midlands Police,West Midlands Police,-1.874269,52.460064,On or near MOLE STREET,E01009371,Birmingham 077D,Investigation complete; no suspect identified
4df5bb8ee400b66318c166a37ec2926177277f228b41589f0b91cd1bd07ac21a,2019-03,West Midlands Police,West Midlands Police,-1.879969,52.539640,On or near CHARLTON ROAD,E01009137,Birmingham 011G,Investigation complete; no suspect identified
c1f212b64fb78b9fdf628bb4c1832bb23f37d4d1652285aee356f806a66baab2,2019-03,West Midlands Police,West Midlands Police,-1.875871,52.549947,On or near CRANEHOUSE ROAD,E01009130,Birmingham 011C,Investigation complete; no suspect identified
bd66f28bbccb112a07d2a10574f0f81ae0843ffc2546fc08985afba056f28535,2019-03,West Midlands Police,West Midlands Police,-1.874768,52.460613,On or near BEECHFIELD ROAD,E01009371,Birmingham 077D,Unable to prosecute suspect
c6b7d6dc38526c2c281f77207876e07f5327ac57554aa2f0ced12e62107e3987,2019-03,West Midlands Police,West Midlands Police,-1.779730,52.532681,On or near Supermarket,E01009443,Birmingham 021D,Suspect charged
20e1ce449d2cd2dcda6729b5aded94c8dcf655a61833fa49f37d078a3f774830,2019-03,West Midlands Police,West Midlands Police,-1.874768,52.460613,On or near BEECHFIELD ROAD,E01009371,Birmingham 077D,Unable to prosecute suspect
08fc3259ef7c0c14d28d87ec7fae04fdee9374382f319d7adac5a30d85de5bd2,2019-03,West Midlands Police,West Midlands Police,-1.857458,52.520457,On or near MERE ROAD,E01009412,Birmingham 030C,Investigation complete; no suspect identified
feff62c1c48d3c111f4fb4aee69c1fa971cd0b09f6a5cf3f4b32f33b7b7a701f,2019-03,West Midlands Police,West Midlands Police,-1.834532,52.530667,On or near WILMOT DRIVE,E01033632,Birmingham 023F,Unable to prosecute suspect
2914903e651453bf400d83de573bd5c556897669c1c9ea6b17b3385f5a250e83,2019-03,West Midlands Police,West Midlands Police,-1.793331,52.455114,On or near WAGON LANE,E01009316,Birmingham 081B,Investigation complete; no suspect identified
f4094cfbf6e085ad942ee9cb257625bc643d6ec720f559ae59b0658179981c39,2019-03,West Midlands Police,West Midlands Police,-1.790130,52.472414,On or near SOMERLAND ROAD,E01009517,Birmingham 062D,Local resolution
403ce106e76aaa8aa91fc02c4332372e68d76d89163515959fb0713ef5ddfa88,2019-03,West Midlands Police,West Midlands Police,-1.776659,52.463687,On or near Supermarket,E01009314,Birmingham 069B,Suspect charged
e58b7e3ea067d9820ed613dc7a8be74e4d6580f48643e7e3f5c0ef4b300da50b,2019-03,West Midlands Police,West Midlands Police,-1.781619,52.478664,On or near MEADWAY,E01009322,Birmingham 069D,Unable to prosecute suspect
b47022cb6834963058a6626b47c21b36d60832a7b2a56bc6359f15405e7db997,2019-03,West Midlands Police,West Midlands Police,-1.882043,52.442254,On or near GROVE AVENUE,E01009187,Birmingham 092C,Investigation complete; no suspect identified
1034a3767036480cd1d65c8fc3d8db8a70613526271c640e612799b5d41216d3,2019-03,West Midlands Police,West Midlands Police,-1.857651,52.428553,On or near COLESIDE AVENUE,E01008934,Birmingham 105B,Investigation complete; no suspect identified
b84b9a6ce5474398b8e889c3e62f58c5f9f6e739a46f02c94a26197ca60d131b,2019-03,West Midlands Police,West Midlands Police,-1.843650,52.528540,On or near SHORT HEATH ROAD,E01009006,Birmingham 023C,Suspect charged
45c2d368fdac98157398645f8aa2e1a14fec13f352abd7cca9ac6b1b223eb4fb,2019-03,West Midlands Police,West Midlands Police,-1.789321,52.521524,On or near MONTROSE DRIVE,E01009096,Birmingham 029A,Unable to prosecute suspect
2761af94b69b93ac78166b5ee268707efb4b1ffea47b5c3fb21716eec434363a,2019-03,West Midlands Police,West Midlands Police,-1.800310,52.496632,On or near FOWEY ROAD,E01009087,Birmingham 042C,Investigation complete; no suspect identified
940c0667cf2fe7ff60f485b3529c52679d3e6d2dbde94b7a1997bf95fc0fd522,2019-03,West Midlands Police,West Midlands Police,-1.779730,52.532681,On or near Supermarket,E01009443,Birmingham 021D,Investigation complete; no suspect identified
af3c8a938c3a1768bddc3b775abda774f95634c77583d115c30b0485e9fd01aa,2019-03,West Midlands Police,West Midlands Police,-1.779730,52.532681,On or near Supermarket,E01009443,Birmingham 021D,Investigation complete; no suspect identified
58a508432d2fa55baa40d9d64d39b3ae0db3565d18a74e8f142689f8002377dc,2019-03,West Midlands Police,West Midlands Police,-1.837129,52.526203,On or near HIGH STREET,E01009007,Birmingham 023D,Unable to prosecute suspect
616fc2dde84f9098255fb19865d5cf79845ef06a0585f75bbd7874d96aa4444f,2019-03,West Midlands Police,West Midlands Police,-1.800310,52.496632,On or near FOWEY ROAD,E01009087,Birmingham 042C,Unable to prosecute suspect
b92d95b9274533afc899d9a956d050cc5f1c0526179eaeb4a3feaa51400f6cfb,2019-03,West Midlands Police,West Midlands Police,-1.876671,52.453639,On or near ROSHVEN ROAD,E01009399,Birmingham 083E,Investigation complete; no suspect identified
a246b49deab5959e9536be6babca30c96fdadd1f25f7de8a7c278e5068b2c76d,2019-03,West Midlands Police,West Midlands Police,-1.831817,52.450266,On or near NINEFIELD GARDENS,E01009029,Birmingham 090E,Investigation complete; no suspect identified
b4565520bbe391e44777e14f4c26b9fb502647850fb7c2c0f355bd3b6aac5d30,2019-03,West Midlands Police,West Midlands Police,-1.833937,52.442232,On or near FOX HOLLIES ROAD,E01009016,Birmingham 098A,Investigation complete; no suspect identified
b591cfbcaedd12e1b8c14e9ace8b6d10bcef179939714b8fb75f9057a5490447,2019-03,West Midlands Police,West Midlands Police,-1.823605,52.502387,On or near PAN CROFT,E01009086,Birmingham 044B,Investigation complete; no suspect identified
42092be98d5e82dd15a50e6e3516434ad7fe31cea10cb9baaed24134c2f243c8,2019-03,West Midlands Police,West Midlands Police,-1.859284,52.488779,On or near JERSEY ROAD,E01033644,Birmingham 052F,Unable to prosecute suspect
