Date,Affiliate,Clicks,GrossSales,Voids,NetSales,NumberofSales,ManualCredits,Commissions,Conversion,EPC,AverageOrder,AffiliateID,Organization,Website,NumbSales,NumbLeads,NumbTwoTier,NumbBonuses,NumbPayPerCall,NumbLeapFrog,SaleCommissions,LeadCommissions,TwoTierCommissions,BonusCommissions,PayPerCallCommissions,LeapFrogCommissions,TransactionFees
23/03/2021,1372745-SavvyShop-savvyshopworld.com,2,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1372745,SavvyShop,savvyshopworld.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
23/03/2021,1578665-Mattress Advisor LLC-sleepopolis.com,2,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1578665,Mattress Advisor LLC,sleepopolis.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
23/03/2021,1663605-GSG North America LLC-coupons.businessinsider.com/,2,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1663605,GSG North America LLC,coupons.businessinsider.com/,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
23/03/2021,2053730-WW Affiliate-www.yourbestmattress247.com,2,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,2053730,WW Affiliate,www.yourbestmattress247.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
23/03/2021,2292146-Olymp Technologies Inc-honestbrandreviews.com,2,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,2292146,Olymp Technologies Inc,honestbrandreviews.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
23/03/2021,213636-SurfMyAds.com-www.promocodes.com,1,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,213636,SurfMyAds.com,www.promocodes.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
23/03/2021,318676-Capital Intellect Inc.-www.befrugal.com,1,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,318676,"Capital Intellect, Inc.",www.befrugal.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
23/03/2021,1140999-Chichihaha Limited-www.couponbirds.com,1,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1140999,Chichihaha Limited,www.couponbirds.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
23/03/2021,1225169-Vox Media LLC-www.voxmedia.com/a/vm,1,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1225169,"Vox Media, LLC",www.voxmedia.com/a/vm,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
23/03/2021,1242889-RIZKNOWS LLC-www.rizknows.com,1,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1242889,RIZKNOWS LLC,www.rizknows.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
